cell,fusion,alpha,top_k_stage1,rerank,rerank_model,truncation,mode,final_k,query_idx,question,origin_chunk_id,gold_in_stage1_pool,stage1_size,rerank_top_score,rerank_bottom_score,rerank_latency_ms,hit_rank,recall_at_5,mrr10,ndcg_at_10
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,19,readline function manpage name section,01KSHSNCP059MHZR946HT1HQ6V,1,5,,,,4,1,0.250000,0.430677
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,20,how to pass arguments with spaces in bash using arrays,01KSHSND84S923WGQRHDQSF0QC,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,21,How does Bash handle regular expressions with the =~ operator and BASH_REMATCH variable?,01KSHSNCVS9VGHHAEGBPQGTRBM,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,22,step 99.4 translate the strings,01KSHSND09JAAR298H1QFGWGPG,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,23,What is the content of SC2075.md?,01KSHSND875BS6BTH9H81C61QH,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,24,"In bats, why doesn't ! cause a test failure and how to fold it into a conditional?",01KSHSND6G8T6Q349J7HX8KE1M,1,5,,,,4,1,0.250000,0.430677
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,25,declare command portability bash zsh posix,01KSHSND4VD23GPDDXCA8SBTXN,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,26,Bash local variable outside function error,01KSHSND7KZDPQTK94MAKVKXA0,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,27,ShellCheck SC2171 error trailing ] tr -d ] fix,01KSHSND7J1YWCYE2DDT16YT1E,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,28,What is the content of SC2073.md?,01KSHSND875BS6BTH9H81C61QS,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,29,What is the content of SC2148.md?,01KSHSND7QYB0HKGB58BQA7NHR,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,30,how to save a command as a function in bash to run later,01KSHSNCYZDAWVS4QJMWKX48TR,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,31,How do I disable the warning for a variable not being assigned when I intentionally didn't use it?,01KSHSND7PQVGDV80EC19Y7B63,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,32,Why is break or continue invalid outside a loop in scripting?,01KSHSND80A396HJ701A2TB9FV,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,33,How to handle unset terminal variables in bash when stderr is not connected to a terminal using tput?,01KSHSNCYSZ3RQ555QEF1PNF4S,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,34,How does quoting affect pattern matching in a Bash case statement?,01KSHSND16GFQMW1QEH51E1Y28,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,35,inconsistent output of which command across different operating systems and recommended alternatives,01KSHSND013361FTXN7GHXNKWX,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,36,command substitution syntax shell scripting best practices,01KSHSND30V9XRM99EKA1XFVQY,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,37,How does the Bourne find command with 2>&1 and >/dev/null redirection work?,01KSHSNCZ1109RS8387YG9A1FM,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,38,"Bash aliases vs functions: differences in behavior, limitations, and example of replacing an alias with a function",01KSHSNCW876EV9G679ZTBEABB,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,39,What is the content of the SC2083.md section?,01KSHSND85B7WBD71QPWX99YRP,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,40,how to convert filenames to lowercase using rename command in Linux,01KSHSNCYKX3NAEHHEYH9E0FFK,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,41,How to add color to terminal scripts using ANSI codes,01KSHSND2XBGR79KE9MES6BGKH,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,42,How can I avoid losing any history lines?,01KSHSNCWTSYN79T85P20X2VE6,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,43,introduction to ANSI/VT100 terminal codes in bash scripting,01KSHSND2YVHM55A9K19SZXT5G,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,44,process substitution bugs and portability issues in bash and other shells,01KSHSND4ZG6ZXHS42S8C1W7HY,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,45,How to enable the nullglob option using the shopt command in bash?,01KSHSND4EPVKKS4PCDPDTKR7B,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,46,how to remove leading zeros in posix shell,01KSHSNCZ9VNV59GGXQBJHHBPJ,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,47,What is the content of SC3059.md?,01KSHSND5YNJZYGW26XF0PD0R0,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,48,What is the content of SC2145.md?,01KSHSND7RW6EHB6V6W4HZ8ZM3,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,49,obsolete Bash syntax &>FILE and $[EXPRESSION] replacement,01KSHSND34K1ZWPANCKFSS6B67,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,50,SC2187.md content,01KSHSND7FWQEXK2MX3XJ9416M,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,51,how to open a file for both reading and writing in bash redirection using file descriptors,01KSHSNCMP4PBK2AJB5CJCVT42,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,52,security risks of using declare with array variables in shell scripting leading to arbitrary code execution,01KSHSNCYYZM60SYFKY30B86HS,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,53,What is SC2084?,01KSHSND85B7WBD71QPWX99YRH,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,54,"Why does Bash allow function foo() { ... } but ksh does not, and how does the shebang line affect this?",01KSHSND7Y77DJF83KS6KVFKQE,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,55,What is the See Also section for the sh manpage?,01KSHSNCRQMTC1ESRA9QTXW1CJ,1,5,,,,5,1,0.200000,0.386853
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,56,how to display file size in bash using wc -c command,01KSHSND2WWHA087V4Z1KBAEW7,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,57,How to redirect stderr to a pipe while keeping stdout in Bourne shell?,01KSHSNCYYZM60SYFKY30B86HB,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,58,What is the content of SC2118.md?,01KSHSND7XV2EPM69M5B27W9HB,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,59,What is the content of SC2297.md?,01KSHSND6N5MGRV3JHMRAV4WG1,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,60,How to read all files into a Bash array using find with -print0 and null delimiter to handle filenames with newlines?,01KSHSNCYCAFVK2WG11EX2D4SV,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,61,How to enable require-variable-braces in .shellcheckrc ShellCheck,01KSHSND70N24Z1J933N5FEANZ,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,62,How do I operate on IP addresses and netmasks in BASH?,01KSHSNCWTSYN79T85P20X2VEQ,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,63,Bash select command example with variables and break statement,01KSHSND53W492KBD9TP73G49D,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,64,What is the reason the expansion will not see the mentioned assignment?,01KSHSND8126ETX6XM2SS4PPV9,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,65,how does bash locate and execute commands,01KSHSNCMR0E5G2B05PWZBE970,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,66,What is the return status of the wait builtin command in shell?,01KSHSND4C73BCE1HVDC0FY8Q2,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,67,Parsing and execution see also,01KSHSND4X7CAHNHNHB1CXSTRT,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,68,What is the structure of Template.md?,01KSHSND5VE9T469Y540VRAHM2,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,69,SC2238.md,01KSHSND73ZY0EGPVXB15RK929,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,70,What is SC3039.md?,01KSHSND63RRRRAYH7ZG8XAQC2,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,71,What is the content of SC2281.md?,01KSHSND6S97ME65RGME3TR2EX,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,72,how to run a script in the current shell environment bash,01KSHSNCW876EV9G679ZTBEABD,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,73,How does Bash perform variable expansion and substitution in command lines?,01KSHSND4ZG6ZXHS42S8C1W7J0,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,74,How can I get the newest (or oldest) file from a directory?,01KSHSND09JAAR298H1QFGWGPK,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,75,shebang multiple parameters macOS exception,01KSHSND82MWQMD3TDW998F895,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,76,Bash variable types and declare options,01KSHSNCVRPSSC1TA2NEPH0CXM,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,77,how to find intersection and subtract files using sort and uniq in Unix,01KSHSNCYR8D9YS18MSXBRHMXY,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,78,GNU Readline Library license terms,01KSHSNCK0NHQBVFH4MHFD9Q0R,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,79,Bash 4 new shell options description,01KSHSND1YNR67T1RZHEJ8W7D9,1,5,,,,3,1,0.333333,0.500000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,80,how to copy a file to a remote system with a filename containing spaces using scp or rsync,01KSHSNCWTSYN79T85P20X2VEM,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,81,how to print a horizontal line using printf and tr in bash,01KSHSND2TBN9QN7C69FJQBMGX,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,82,"Bash command substitution: differences between backticks and $(), nesting, parsing, and POSIX compliance",01KSHSND51CVJPFQYVZ54NF102,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,83,Why don't brace expansions work as operands in [ ] in shell scripting and how to use a loop instead?,01KSHSND7C5TW48B51CVXFECD7,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,84,What is the content of the SC2194.md file?,01KSHSND7E11QCWD5Q229HH0DQ,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,85,readline movement commands for navigating the shell,01KSHSNCED2D452QRAE3F3AF8K,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,86,How do I invoke a shell command from a non-shell application?,01KSHSNCY946PNBNSVW71RNRWR,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,87,ShellCheck SC2290 exceptions,01KSHSND6QBQ1AEQ4RK8S13YJ9,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,88,What is the shebang line and how is it used in Unixoid operating systems to execute scripts?,01KSHSND46W1GXEAEXVHK1NPFP,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,89,Bash -n instead of ! -z exceptions and variable quoting,01KSHSND742RHZ7F1N89H7XG66,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,90,How does the shell use quotes to suppress interpretation of special syntax in patterns and regular expressions?,01KSHSND16GFQMW1QEH51E1Y24,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,91,how to ignore Grep regex glob exception,01KSHSND8BCP32XBQGBNDNBFX2,1,5,,,,3,1,0.333333,0.500000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,92,Why is it bad to use unquoted variables in bash echo commands?,01KSHSND17WD31P47E6H538W74,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,93,SC2331.md content,01KSHSND6C52H1DDTSWM1BGBH5,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,94,What is the content of SC2306.md?,01KSHSND6K586X2AYAVWDQ3FD3,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,95,how to check if a glob matches exactly one file in a shell script exception,01KSHSND7C5TW48B51CVXFECCZ,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,96,portability considerations for classic C for-loop,01KSHSND57SC10B1D3RNH504KK,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,97,What is the content of the SC2162.md section?,01KSHSND7MQG1WTBRXY3V2NH9V,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,98,how to make variables available to child processes in bash using export,01KSHSND3BQTBXN8SE39N525HR,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,99,How to preserve the original IFS value in Bash when modifying it temporarily?,01KSHSND0ZXS6J01231KDWVSX0,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,100,"How does Bash handle quoting and escaping in shell scripting, and what is the difference between weak and strong quoting with double and single quotes?",01KSHSND29XQFMAJD6JHF65W0C,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,101,"Difference between ""$@"" and ""$*"" in Bash when expanding argument lists",01KSHSND16GFQMW1QEH51E1Y1X,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,102,"How does the (String) length parameter expansion work for arrays in Bash, particularly with mass subscripts like @ and *?",01KSHSND2C96YRDCSAFXQ3C820,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,103,Bash 4 command not found handle function set -e behavior BASH_XTRACEFD syslog history,01KSHSND1YNR67T1RZHEJ8W7DA,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,104,How to use && and || in shell scripting as a shortcut for if-then-else constructs?,01KSHSND0XZ1NHJA7DM0PQC6ZG,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,105,expr expects 3+ arguments but sees 1,01KSHSND6K586X2AYAVWDQ3FD2,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,106,What is arithmetic expansion in Bash and how is it used with $(( ))?,01KSHSND1898XBP2H1K7E6AEKH,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,107,How to automate ssh scp sftp connection and send password in bash script?,01KSHSNCWTSYN79T85P20X2VDW,1,5,,,,2,1,0.500000,0.630930
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,108,bash invocation no startup files ignored environment variables effective user id,01KSHSNCM320QBKMZQHFNG3WVH,1,5,,,,3,1,0.333333,0.500000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,109,POSIX sh trapping ERR undefined,01KSHSND60YGE9F11ANBZ8VMV9,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,110,What is the content of SC2312.md?,01KSHSND6HKN2H531PAN599NW2,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,111,shell array parameters declare local readonly -a -A options,01KSHSNCQB5HVZMYCPCKGA8DR9,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,112,Bash version changes and features table,01KSHSND3EZ7J45GRB6ERJ0KYJ,0,5,,,,0,0,0.000000,0.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,113,how to implement a collapsing function in bash with verbose output example,01KSHSND43KMB9V47MMFW4RYTQ,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,114,I'm trying to write a script that will change directory but after the script finishes I'm back where I started,01KSHSNCZ2SMXP406DPZGG8PHT,1,5,,,,1,1,1.000000,1.000000
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,115,how does brace expansion work with string lists and prefix/suffix examples,01KSHSND524SC4G5ZBXZEJ6Q0Y,1,5,,,,1,1,1.000000,1.000000
