run_id,experiment,model,model_family,task,category,seed,ground_truth,transcript_chars,n_messages,length_tercile
3773fdda15b6296310265653,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,shell-pipeline-extract,shell,1,fail,938,3,short
37876e5cbc655cae271e2896,HARD-BENCH-001,devstral-24b,mistral,code-fibonacci-bug-fix,code,1,fail,2276,5,medium
378c78f9812642f284c8c155,CODER-BENCH-001,qwen3-coder-30b,qwen,multi-db-self-check,multi,2,pass,1078,9,short
380dc4f0529ca877a40dfc5f,HARD-BENCH-001,qwen3-coder-30b,qwen,code-interval-merge-fix,code,1,fail,1207,3,short
39cdab3d2686ea2bc71d904f,HARD-BENCH-002,qwen3-coder-30b,qwen,code-topo-sort,code,1,fail,1555,3,medium
3ae0ab51d494bad6fc9233fe,HARD-BENCH-002,qwen3-coder-30b,qwen,code-param-count-analysis,code,1,pass,2479,9,medium
3b9d004d9117ad0dbe38faee,HARD-BENCH-001,devstral-24b,mistral,multi-anomaly-detection-script,multi,1,fail,1691,7,medium
3bbeaf54b92b7208af50d759,CODER-BENCH-001,gemma4-12b,gemma,http-fetch-and-count,http,1,pass,1400,9,short
3d32f8ae64802f8b502ecb01,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,multi-manifest-validate-compute,multi,1,fail,2771,13,medium
3d34e8b7c006a4bd500930e1,HARD-BENCH-001,devstral-24b,mistral,multi-manifest-validate-compute,multi,1,fail,2810,11,medium
3d8a7023af44796e37c1a9f0,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,multi-etl-log-user-join,multi,1,pass,2432,11,medium
3d919d102a7ed138b2888e85,HARD-BENCH-002,qwen3-coder-30b,qwen,data-jsonl-session-median-duration,data,1,pass,3879,9,long
3d9beab291407e09cdef3b35,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,shell-session-duration-per-user,shell,1,pass,3410,9,long
3e072c47cc01cfc92543ee1a,HARD-BENCH-001,devstral-24b,mistral,code-lru-cache-trace,code,1,fail,2626,3,medium
3ed7940c6a1290cc66a02d56,HARD-BENCH-001,devstral-24b,mistral,multi-etl-log-user-join,multi,1,pass,2420,12,medium
4157439d5d1ccef7cbc2d826,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,shell-count-lines,shell,3,fail,850,3,short
42eea9cdf86a89ba6c0a1e66,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-read-and-copy,fs,3,fail,797,3,short
44b338a146957d1c055aae87,HARD-BENCH-002,gemma4-12b,gemma,code-param-count-analysis,code,1,pass,2461,9,medium
46a5cc9d7d18ffd5d758e17b,HARD-BENCH-001,devstral-24b,mistral,shell-fragment-reassembly,shell,1,fail,2179,7,medium
4736a72c6cc51c5e645b5103,HARD-BENCH-002,gemma4-12b,gemma,code-dijkstra-multifile,code,1,pass,2661,9,medium
477f9fc1ed69a0720d4da3f1,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-read-and-explain,code,1,fail,979,3,short
48e7446fb18d919dd0dafb26,CODER-BENCH-001,gemma4-12b,gemma,multi-words-and-hash,multi,2,pass,2560,9,medium
49328cd261fa7f66e29a2810,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,shell-count-lines,shell,1,fail,850,3,short
49487809a4f609d95264a5bb,HARD-BENCH-002,devstral-24b,mistral,shell-access-log-slow-error-endpoints,shell,1,fail,3426,7,long
4adec3b5d865f51773eae1f7,HARD-BENCH-002,devstral-24b,mistral,shell-top-error-sources,shell,1,fail,1243,3,short
4bd91be080ff72deb1a67cfc,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,multi-grep-weighted-todo,multi,1,pass,4383,21,long
4c6af77c0b63c9b7009cd512,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-sample-variance-fix,code,1,pass,3527,14,long
4cc102c736ef1f135e830a3f,HARD-BENCH-001,gemma4-12b,gemma,data-duplicate-transaction-count,data,1,fail,802,3,short
4d850ec21bbd6c607d071bac,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,multi-http-catalog-pricing,multi,1,pass,3926,21,long
4e6a7570fd378c15b19d1df3,CODER-BENCH-001,gemma4-12b,gemma,fs-grep-extract-and-write,fs,3,pass,1008,7,short
505c4df18e1af70b73586110,HARD-BENCH-001,devstral-24b,mistral,multi-grep-weighted-todo,multi,1,fail,2636,3,medium
5119f48b7fab5e8e78661aeb,HARD-BENCH-001,qwen3-coder-30b,qwen,code-sample-variance-fix,code,1,fail,1221,3,short
52a7d9019fb6ba8b06f61ba1,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-write-and-execute,code,2,fail,857,3,short
55da4c4991dd96d9a6adaf80,CODER-BENCH-001,qwen3-coder-30b,qwen,fs-grep-extract-and-write,fs,3,pass,1331,7,short
5750a1558741af9584d65760,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,multi-event-session-http-enrich,multi,1,pass,3481,10,long
586d34fca49f9aeffce426ab,CODER-BENCH-001,qwen3-coder-30b,qwen,http-fetch-and-extract,http,2,pass,1100,7,short
5a470e643ef811d0f1de6e66,HARD-BENCH-002,devstral-24b,mistral,data-csv-join-revenue-by-region,data,1,fail,2149,7,medium
5a752a32330df3f0ac128d13,HARD-BENCH-001,gemma4-12b,gemma,code-interval-merge-fix,code,1,pass,2301,13,medium
5af2484910b9c6a4bd75e963,CODER-BENCH-001,qwen3-coder-30b,qwen,multi-words-and-hash,multi,1,pass,2560,9,medium
5de7ba382c704e367ddc1aaf,HARD-BENCH-002,devstral-24b,mistral,shell-tsv-dedup-median-by-dept,shell,1,pass,2244,7,medium
5f44255ee7ef3ed8a811e25c,CODER-BENCH-001,gemma4-12b,gemma,multi-words-and-hash,multi,3,pass,2560,9,medium
60180fd7f9c6b509f409c850,HARD-BENCH-002,gemma4-12b,gemma,code-interval-merge-fix,code,1,fail,2560,13,medium
613c9cfc75360ea214ce04d3,HARD-BENCH-001,gemma4-12b,gemma,shell-fragment-reassembly,shell,1,pass,2181,9,medium
61c1dfbe38037ca8800bd212,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,shell-tsv-dedup-median-by-dept,shell,1,pass,2711,7,medium
61d07baf0809f1218a8d801d,HARD-BENCH-001,devstral-24b,mistral,shell-tsv-dedup-median-by-dept,shell,1,fail,2371,3,medium
63807588c2dad7196e6e21a7,HARD-BENCH-001,gemma4-12b,gemma,data-log-parse-p95-latency,data,1,pass,2807,9,medium
6485f3032c7a205eeca50ee1,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-find-and-fix-bug,code,2,fail,974,3,short
64c74d697ea310bfe94b7f9c,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,data-csv-join-revenue-by-region,data,1,pass,2494,10,medium
68228efd3a796ebc486e5517,HARD-BENCH-001,devstral-24b,mistral,shell-session-duration-per-user,shell,1,fail,1365,3,short
686bef6a0ffca21df3453f7b,HARD-BENCH-002,gemma4-12b,gemma,data-csv-join-revenue-by-region,data,1,pass,3163,11,long
698334fba4347c2840f4090a,HARD-BENCH-002,qwen3-coder-30b,qwen,code-expr-parser-fix,code,1,fail,1611,3,medium
69bfd5d8c1a8152aa0633b93,HARD-BENCH-001,qwen3-coder-30b,qwen,multi-grep-weighted-todo,multi,1,pass,4496,15,long
6a2ab8ff260e37cfd920e7ce,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-grep-extract-and-write,fs,1,fail,893,3,short
6a769452f36a196945cf14a7,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,shell-fragment-reassembly,shell,1,pass,2799,21,medium
6a9f403a45785f61abb19801,HARD-BENCH-002,gemma4-12b,gemma,multi-grep-weighted-todo,multi,1,pass,3070,13,long
6aea406e8b86103633715d0e,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,data-jsonl-session-median-duration,data,1,pass,3991,9,long
6b0ab56c3a40193aab9e8f47,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-find-and-fix-bug,code,3,fail,974,3,short
6bd7a4df5e7a4b7b7bac1431,HARD-BENCH-001,devstral-24b,mistral,multi-http-catalog-pricing,multi,1,pass,3459,17,long
6c572aa46dbcb9dd7176b7b3,HARD-BENCH-002,devstral-24b,mistral,shell-sensitive-config-keys,shell,1,fail,2227,7,medium
6cfab0977cad263a269a2b75,HARD-BENCH-001,devstral-24b,mistral,code-interval-merge-fix,code,1,fail,1355,3,short
727cedafe7f6d7c3f6a781e8,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-lru-cache-trace,code,1,pass,2414,9,medium
73bd48a9f564a86233b2bb20,HARD-BENCH-001,devstral-24b,mistral,shell-sensitive-config-keys,shell,1,fail,3151,5,long
75afea29d93c42f646999882,CODER-BENCH-001,qwen3-coder-30b,qwen,fs-write-csv-summary,fs,3,pass,1181,7,short
7672313091f3adf522fe06ee,HARD-BENCH-001,qwen3-coder-30b,qwen,code-expr-parser-fix,code,1,fail,1358,3,short
77e5814c75403eacaf5dd98d,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,shell-multifile-dedup-latest,shell,1,pass,3753,15,long
78eab1438ddce9b28c03964d,HARD-BENCH-002,qwen3-coder-30b,qwen,shell-multifile-dedup-latest,shell,1,pass,4348,22,long
791e321a4eb5a546cf78fb9d,HARD-BENCH-002,qwen3-coder-30b,qwen,shell-fragment-reassembly,shell,1,pass,2818,22,medium
79e8fdcf64ca91e4267f842b,HARD-BENCH-002,devstral-24b,mistral,shell-session-duration-per-user,shell,1,pass,2303,7,medium
7ac4eac78507cebf0493ac96,HARD-BENCH-002,qwen3-coder-30b,qwen,multi-event-session-http-enrich,multi,1,pass,4753,13,long
7acd235cc12a9a250e201d86,HARD-BENCH-001,gemma4-12b,gemma,code-dijkstra-multifile,code,1,pass,2729,9,medium
7cb7c757219493966e032fad,HARD-BENCH-001,devstral-24b,mistral,multi-http-index-aggregate,multi,1,pass,2643,14,medium
7d8d7e965d727a2c722d9845,HARD-BENCH-001,qwen3-coder-30b,qwen,code-lru-cache-trace,code,1,pass,3952,17,long
7dd92b19f411370673864226,HARD-BENCH-001,devstral-24b,mistral,shell-dept-salary-sum,shell,1,pass,1598,9,medium
7f32ed8ac5dfa4085c8e1b45,HARD-BENCH-001,gemma4-12b,gemma,multi-http-index-aggregate,multi,1,pass,2745,17,medium
7fc22875e8cbb9e7ea2ea4b0,HARD-BENCH-001,devstral-24b,mistral,code-sample-variance-fix,code,1,fail,1531,3,medium
80376eb59465d6115e29881d,CODER-BENCH-001,gemma4-12b,gemma,fs-read-and-copy,fs,2,pass,927,7,short
808a260b0ff84ad3a0629d48,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-write-csv-summary,fs,1,fail,864,3,short
8214b0c987cc5e34f3da1472,HARD-BENCH-002,devstral-24b,mistral,data-json-flatten-top-spender,data,1,fail,4676,18,long
822de044ca0887b089d767af,HARD-BENCH-002,devstral-24b,mistral,multi-config-driven-transform,multi,1,pass,2158,11,medium
8242f938201e67e6254bb0e3,HARD-BENCH-002,qwen3-coder-30b,qwen,multi-manifest-validate-compute,multi,1,fail,3362,13,long
824e581d301f06e014ceb891,CODER-BENCH-001,gemma4-12b,gemma,fs-write-csv-summary,fs,3,pass,1085,9,short
84faaba2562a3893936dc1c2,CODER-BENCH-001,gemma4-12b,gemma,code-write-and-execute,code,3,pass,934,7,short
85ec739febbdce0a7c908271,HARD-BENCH-002,gemma4-12b,gemma,code-sample-variance-fix,code,1,pass,2746,15,medium
8623b4552723920e8b874562,HARD-BENCH-001,devstral-24b,mistral,data-duplicate-transaction-count,data,1,pass,1436,7,short
8806f878c9fefe400651480e,CODER-BENCH-001,qwen3-coder-30b,qwen,shell-count-lines,shell,1,pass,922,7,short
883e6e2722764639db8efa43,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,shell-access-log-slow-error-endpoints,shell,1,pass,3773,7,long
884b7ea32a1e8324b03f2b8f,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,multi-grep-weighted-todo,multi,1,pass,3213,8,long
8a29db8f60386a0e771a2da3,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,data-payment-reconciliation,data,1,pass,2685,8,medium
8f94130fc21e04f9d689dc08,HARD-BENCH-002,gemma4-12b,gemma,shell-multifile-dedup-latest,shell,1,pass,2707,15,medium
91193c7d152b9a5211134aa3,HARD-BENCH-001,devstral-24b,mistral,data-multi-file-weighted-score,data,1,fail,2557,9,medium
924cc9f305e5b6eee069b986,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,multi-event-session-http-enrich,multi,1,pass,3064,11,long
9466c9d4eca29953dbb3ab25,HARD-BENCH-001,qwen3-coder-30b,qwen,multi-http-index-aggregate,multi,1,pass,3477,17,long
954594af5f7899501c48c745,CODER-BENCH-001,gemma4-12b,gemma,multi-db-self-check,multi,2,pass,1083,9,short
968c2ba25a7ea7e698282227,HARD-BENCH-002,qwen3-coder-30b,qwen,data-multi-file-weighted-score,data,1,pass,4377,13,long
97b5398c47a30fdcc0b754c0,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,code-read-and-explain,code,3,fail,979,3,short
9821c395cbd5a1b042f0b315,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,data-inventory-turnover,data,1,pass,1885,9,medium
99b6b343a2442d021cd836aa,HARD-BENCH-002,gemma4-12b,gemma,multi-event-session-http-enrich,multi,1,pass,3057,11,long
9a63211764ac1ddf04648bc0,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,code-topo-sort,code,1,pass,2140,9,medium
9b4549ab1dbed1f54f466ed6,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,http-fetch-and-extract,http,1,fail,893,3,short
9c1073dee2728f85eabf346d,HARD-BENCH-002,gemma4-12b,gemma,data-json-flatten-top-spender,data,1,pass,2631,9,medium
9c2ff2f0f2966de8730e7407,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,multi-words-and-hash,multi,2,fail,2181,3,medium
9dd6020bd5bcdb23e1ca2784,HARD-BENCH-002,devstral-24b,mistral,code-topo-sort,code,1,fail,3594,3,long
9e11cd01d827b909e0485c4a,HARD-BENCH-002,qwen3-coder-30b,qwen,shell-tsv-dedup-median-by-dept,shell,1,pass,5784,15,long
9edb7d6ffedbabcbba9787b0,HARD-BENCH-002,gemma4-12b,gemma,multi-etl-log-user-join,multi,1,pass,2432,11,medium
9f25b58759c4ac0df5eba43f,HARD-BENCH-001,qwen3-coder-30b,qwen,code-dijkstra-multifile,code,1,pass,4911,21,long
9f27b98355384bdd6ecde568,CODER-BENCH-001,gemma4-12b,gemma,shell-pipeline-extract,shell,3,pass,988,7,short
9fdfc150b1b258555119950d,HARD-BENCH-001,qwen3-coder-30b,qwen,shell-session-duration-per-user,shell,1,pass,3082,9,long
a0138dcb1f95bbdcc2afc0eb,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-read-and-copy,fs,2,fail,797,3,short
a079a252086e4f78631a8408,HARD-BENCH-001,qwen3-coder-30b,qwen,data-multi-file-weighted-score,data,1,pass,4279,13,long
a12e9af792bc7b14d9d879d9,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-topo-sort,code,1,pass,2242,9,medium
a233188148e1eaaf6b3f3647,HARD-BENCH-001,qwen3-coder-30b,qwen,code-fibonacci-bug-fix,code,1,fail,1237,3,short
a233f40d30bc1fd3685d0444,HARD-BENCH-002,gemma4-12b,gemma,multi-config-driven-transform,multi,1,pass,2158,11,medium
a24562d3528b276b925af426,HARD-BENCH-001,qwen3-coder-30b,qwen,shell-access-log-slow-error-endpoints,shell,1,pass,5818,15,long
a3642ecb69cc527e883c5f25,HARD-BENCH-002,gemma4-12b,gemma,shell-tsv-dedup-median-by-dept,shell,1,pass,4008,13,long
a725e778ddad4a0b6e6d9bfc,HARD-BENCH-002,devstral-24b,mistral,code-fibonacci-bug-fix,code,1,pass,3178,13,long
aa41de816e2fd2ee48f3e363,HARD-BENCH-001,qwen3-coder-30b,qwen,shell-fragment-reassembly,shell,1,pass,3275,21,long
ad60922b3804e96905fe9f7a,CODER-BENCH-001,gemma4-12b,gemma,http-fetch-and-extract,http,3,pass,1100,7,short
ae1fbbbc6fd50719b8fb22a5,CODER-BENCH-001,gemma4-12b,gemma,http-fetch-and-count,http,2,pass,1400,9,short
b311fd74a9974760724e491b,HARD-BENCH-002,devstral-24b,mistral,code-interval-merge-fix,code,1,pass,2599,11,medium
b37300b8f215bc97d91d1f47,HARD-BENCH-001,devstral-24b,mistral,multi-event-session-http-enrich,multi,1,fail,3463,9,long
b3ec0e893af718ec9b1678c8,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,data-multi-file-weighted-score,data,1,pass,3428,11,long
b42bfce363f7557dbaf50863,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,http-fetch-and-extract,http,2,fail,893,3,short
b67fb830eca89afd11a1cee2,HARD-BENCH-001,gemma4-12b,gemma,multi-event-session-http-enrich,multi,1,pass,2823,11,medium
b6fbce7a09cc2251b834f667,HARD-BENCH-002,qwen3-coder-30b,qwen,multi-etl-log-user-join,multi,1,pass,2840,12,medium
b84b73a5e6fd44f7798fab18,HARD-BENCH-001,qwen3-coder-30b,qwen,code-param-count-analysis,code,1,pass,4109,15,long
b85e8b7959348fba1ed7d5f3,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,multi-anomaly-detection-script,multi,1,pass,3003,10,long
b8aac0d0d3fc015f0f5f723e,HARD-BENCH-002,devstral-24b,mistral,data-multi-file-weighted-score,data,1,pass,2883,13,long
b90944939c2116b16420f244,HARD-BENCH-001,gemma4-12b,gemma,shell-sensitive-config-keys,shell,1,pass,2841,9,medium
b9502a2e8ea56b0508384613,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-expr-parser-fix,code,1,pass,3985,11,long
ba531865f4fc3975837b9e52,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,shell-top-error-sources,shell,1,pass,2293,9,medium
bbb074099af205ea529325d0,HARD-BENCH-001,qwen3-coder-30b,qwen,data-payment-reconciliation,data,1,pass,3195,11,long
bea7b66d98d596c538b9ddd9,HARD-BENCH-002,qwen3-coder-30b,qwen,code-interval-merge-fix,code,1,fail,1460,3,short
c052172c6edd72e48b28f980,CODER-BENCH-001,qwen3-coder-30b,qwen,fs-read-and-copy,fs,2,pass,927,7,short
c0bb6f09090613368af18453,CODER-BENCH-001,qwen3-coder-30b,qwen,code-write-and-execute,code,1,pass,928,7,short
c31b119ddc4af8e6e8176686,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,multi-db-self-check,multi,2,fail,986,3,short
c49098a3c23b61934feff5a8,HARD-BENCH-001,qwen3-coder-30b,qwen,multi-config-driven-transform,multi,1,pass,2235,13,medium
c4c866ee280e6476d431b33d,CODER-BENCH-001,qwen3-coder-30b,qwen,fs-read-and-copy,fs,1,pass,927,7,short
c964c6f6440625512318b94b,CODER-BENCH-001,gemma4-12b,gemma,multi-words-and-hash,multi,1,pass,2560,9,medium
c96917b94d8bae9dcef006f3,HARD-BENCH-002,gemma4-12b,gemma,data-duplicate-transaction-count,data,1,pass,1871,9,medium
d081ef8a1a10f9a38001ca99,HARD-BENCH-001,devstral-24b,mistral,code-topo-sort,code,1,fail,2936,3,long
d16b2a346114c712b162b5a4,HARD-BENCH-CLOUD-001,qwen3-coder-480b-cloud,qwen,shell-sensitive-config-keys,shell,1,pass,2950,9,long
d16e658b11999a7cf21130ab,HARD-BENCH-001,gemma4-12b,gemma,code-param-count-analysis,code,1,pass,2208,9,medium
d17d5f539edf371c13c092d8,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,shell-pipeline-extract,shell,3,fail,938,3,short
d2933b2164bc30d6e0fd9b2c,CODER-BENCH-001,gemma4-12b,gemma,shell-count-lines,shell,2,pass,922,7,short
d404822a53db03d284aae1c8,HARD-BENCH-002,devstral-24b,mistral,data-duplicate-transaction-count,data,1,fail,1362,5,short
d6509357aa3dd703277d56b9,HARD-BENCH-001,qwen3-coder-30b,qwen,code-topo-sort,code,1,fail,1302,3,short
d68823f599085adf60f38e6d,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,code-dijkstra-multifile,code,1,pass,2932,10,long
d7b785fb9c34cd5877c986ba,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,http-fetch-and-extract,http,3,fail,893,3,short
d900c790f52a04d8e968b666,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,fs-grep-extract-and-write,fs,2,fail,893,3,short
d9f04ea6ccbf8108d7a1c52c,HARD-BENCH-001,devstral-24b,mistral,shell-top-error-sources,shell,1,fail,3028,7,long
daf73b0acc6ba3919ed11899,HARD-BENCH-001,qwen3-coder-30b,qwen,data-inventory-turnover,data,1,pass,3490,13,long
db51c1b1a346b3871bbd330b,CODER-BENCH-001,qwen2.5-coder-32b-q4_k_m,qwen,http-fetch-and-count,http,2,fail,838,3,short
dbf9c262321288f0112ea358,HARD-BENCH-002,devstral-24b,mistral,multi-grep-weighted-todo,multi,1,fail,3450,11,long
dd73cb2e3d85b16028bb9a27,HARD-BENCH-002,devstral-24b,mistral,data-log-parse-p95-latency,data,1,pass,3225,11,long
dea257007583b8bf278ab58a,HARD-BENCH-001,devstral-24b,mistral,multi-config-driven-transform,multi,1,pass,1905,11,medium
deb046493040ee76372e3dd8,HARD-BENCH-002,devstral-24b,mistral,shell-multifile-dedup-latest,shell,1,fail,1595,3,medium
dec1381d50c6940e28dcc38c,HARD-BENCH-002,qwen3-coder-30b,qwen,shell-sensitive-config-keys,shell,1,pass,3197,9,long
df0d908aaf4556bb48fb87e0,HARD-BENCH-CLOUD-001,glm-5.1-cloud,glm,multi-http-index-aggregate,multi,1,pass,3222,14,long
dfd2721ee7fd2e8de74b41f5,HARD-BENCH-001,gemma4-12b,gemma,data-jsonl-session-median-duration,data,1,pass,4442,11,long
