model,task,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,latency_ms,tokens_in,tokens_out,cost_usd,actual_turns,tool_call_count,terminated_reason,error
glm-5.1-cloud,http-fetch-and-extract,7,done,0.0,1.0,1.0,,13769,1339,428,,2,1,,
glm-5.1-cloud,http-fetch-and-extract,8,done,0.0,1.0,1.0,,13119,1338,479,,2,1,,
glm-5.1-cloud,multi-db-self-check,1,done,1.0,1.0,1.0,,11941,3002,155,,4,3,,
glm-5.1-cloud,multi-db-self-check,2,done,1.0,1.0,1.0,,14289,3002,142,,4,3,,
glm-5.1-cloud,multi-db-self-check,3,done,1.0,1.0,1.0,,11982,2992,156,,4,3,,
glm-5.1-cloud,multi-db-self-check,4,done,1.0,1.0,1.0,,11458,2992,177,,4,3,,
glm-5.1-cloud,multi-db-self-check,5,done,1.0,1.0,1.0,,11103,3002,163,,4,3,,
glm-5.1-cloud,multi-db-self-check,6,done,1.0,1.0,1.0,,14126,3002,147,,4,3,,
glm-5.1-cloud,multi-db-self-check,7,done,1.0,1.0,1.0,,16014,3002,160,,4,3,,
glm-5.1-cloud,multi-db-self-check,8,done,1.0,1.0,1.0,,18094,3002,159,,4,3,,
glm-5.1-cloud,multi-words-and-hash,1,done,1.0,1.0,1.0,,22048,2422,285,,3,3,,
glm-5.1-cloud,multi-words-and-hash,2,done,1.0,1.0,1.0,,13617,2422,269,,3,3,,
glm-5.1-cloud,multi-words-and-hash,3,done,1.0,1.0,1.0,,11443,2430,281,,3,3,,
glm-5.1-cloud,multi-words-and-hash,4,done,1.0,1.0,1.0,,20504,2422,273,,3,3,,
glm-5.1-cloud,multi-words-and-hash,5,done,1.0,1.0,1.0,,29282,2422,216,,3,3,,
glm-5.1-cloud,multi-words-and-hash,6,done,1.0,1.0,1.0,,18713,2422,315,,3,3,,
glm-5.1-cloud,multi-words-and-hash,7,done,1.0,1.0,1.0,,32881,2422,268,,3,3,,
glm-5.1-cloud,multi-words-and-hash,8,done,1.0,1.0,1.0,,11384,2422,278,,3,3,,
glm-5.1-cloud,shell-count-lines,1,done,1.0,1.0,1.0,,8798,1603,87,,3,2,,
glm-5.1-cloud,shell-count-lines,2,done,1.0,1.0,1.0,,49116,1603,85,,3,2,,
glm-5.1-cloud,shell-count-lines,3,done,1.0,1.0,1.0,,16746,1603,84,,3,2,,
glm-5.1-cloud,shell-count-lines,4,done,1.0,1.0,1.0,,11770,1603,79,,3,2,,
glm-5.1-cloud,shell-count-lines,5,done,1.0,1.0,1.0,,17101,1603,81,,3,2,,
glm-5.1-cloud,shell-count-lines,6,done,1.0,1.0,1.0,,14725,1603,85,,3,2,,
glm-5.1-cloud,shell-count-lines,7,done,1.0,1.0,1.0,,15040,1603,77,,3,2,,
glm-5.1-cloud,shell-count-lines,8,done,1.0,1.0,1.0,,11050,1603,77,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,1,done,1.0,1.0,1.0,,12611,2230,97,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,2,done,1.0,1.0,1.0,,24624,2234,105,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,3,done,1.0,1.0,1.0,,22965,2236,102,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,4,done,1.0,1.0,1.0,,10110,2236,98,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,5,done,1.0,1.0,1.0,,12744,2232,97,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,6,done,1.0,1.0,1.0,,18745,2230,98,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,7,done,1.0,1.0,1.0,,15799,2232,102,,3,2,,
glm-5.1-cloud,shell-pipeline-extract,8,done,1.0,1.0,1.0,,11091,2236,98,,3,2,,
gpt-oss-120b-cloud,code-find-and-fix-bug,1,done,1.0,1.0,1.0,,10490,4413,274,,5,4,,
gpt-oss-120b-cloud,code-find-and-fix-bug,2,done,1.0,1.0,1.0,,10987,4425,275,,5,4,,
gpt-oss-120b-cloud,code-find-and-fix-bug,3,done,1.0,1.0,1.0,,12865,5509,326,,6,5,,
gpt-oss-120b-cloud,code-find-and-fix-bug,4,done,1.0,1.0,1.0,,13109,5503,332,,6,5,,
gpt-oss-120b-cloud,code-find-and-fix-bug,5,done,1.0,1.0,1.0,,11565,4413,274,,5,4,,
gpt-oss-120b-cloud,code-find-and-fix-bug,6,done,1.0,1.0,1.0,,11615,4413,275,,5,4,,
gpt-oss-120b-cloud,code-find-and-fix-bug,7,done,1.0,1.0,1.0,,10551,4409,270,,5,4,,
gpt-oss-120b-cloud,code-find-and-fix-bug,8,done,1.0,1.0,1.0,,11203,4423,305,,5,4,,
gpt-oss-120b-cloud,code-read-and-explain,1,done,1.0,1.0,1.0,1.0,13272,2031,230,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,2,done,1.0,1.0,1.0,1.0,8293,2024,176,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,3,done,1.0,1.0,1.0,1.0,9925,2031,269,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,4,done,1.0,1.0,1.0,1.0,15113,2022,161,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,5,done,1.0,1.0,1.0,1.0,8976,2025,208,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,6,done,1.0,1.0,1.0,1.0,8239,2024,181,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,7,done,1.0,1.0,1.0,1.0,12801,2025,195,,3,2,,
gpt-oss-120b-cloud,code-read-and-explain,8,done,1.0,1.0,1.0,1.0,9673,2031,287,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,1,done,1.0,1.0,1.0,,7726,1256,135,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,2,done,1.0,1.0,1.0,,8087,1254,124,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,3,done,1.0,1.0,1.0,,9895,1254,152,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,4,done,1.0,1.0,1.0,,7322,1254,135,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,5,done,1.0,1.0,1.0,,7636,1254,146,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,6,done,1.0,1.0,1.0,,7895,1256,177,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,7,done,1.0,1.0,1.0,,7574,1254,128,,3,2,,
gpt-oss-120b-cloud,code-write-and-execute,8,done,1.0,1.0,1.0,,7482,1254,132,,3,2,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,1,done,1.0,1.0,1.0,,9903,2657,203,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,2,done,1.0,1.0,1.0,,10812,2657,243,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,3,done,1.0,1.0,1.0,,8885,2657,230,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,4,done,1.0,1.0,1.0,,11176,2662,210,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,5,done,1.0,1.0,1.0,,10133,2657,220,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,6,done,1.0,1.0,1.0,,8867,2662,221,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,7,done,1.0,1.0,1.0,,10906,2657,246,,4,3,,
gpt-oss-120b-cloud,fs-grep-extract-and-write,8,done,1.0,1.0,1.0,,9764,2657,240,,4,3,,
gpt-oss-120b-cloud,fs-read-and-copy,1,done,1.0,1.0,1.0,,7570,1405,134,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,2,done,1.0,1.0,1.0,,7414,1405,127,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,3,done,1.0,1.0,1.0,,8328,1405,118,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,4,done,1.0,1.0,1.0,,8197,1405,153,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,5,done,1.0,1.0,1.0,,11416,1405,123,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,6,done,1.0,1.0,1.0,,7438,1405,125,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,7,done,1.0,1.0,1.0,,8323,1405,122,,3,2,,
gpt-oss-120b-cloud,fs-read-and-copy,8,done,1.0,1.0,1.0,,9246,1405,145,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,1,done,1.0,1.0,1.0,,8263,1455,161,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,2,done,1.0,1.0,1.0,,10300,1455,158,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,3,done,1.0,1.0,1.0,,10529,1455,153,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,4,done,1.0,1.0,1.0,,8982,1455,170,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,5,done,1.0,1.0,1.0,,8898,1455,155,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,6,done,1.0,1.0,1.0,,8305,1455,156,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,7,done,1.0,1.0,1.0,,8511,1455,152,,3,2,,
gpt-oss-120b-cloud,fs-write-csv-summary,8,done,1.0,1.0,1.0,,9368,1455,164,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,1,done,0.0,1.0,1.0,,9551,2209,185,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,2,done,0.0,1.0,1.0,,8045,2209,184,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,3,done,0.0,1.0,1.0,,8135,2207,205,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,4,done,0.0,1.0,1.0,,12283,2207,194,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,5,done,0.0,1.0,1.0,,8546,2207,169,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,6,done,0.0,1.0,1.0,,8554,2203,146,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,7,done,0.0,1.0,1.0,,10262,2207,219,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-count,8,done,0.0,1.0,1.0,,9060,2205,184,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-extract,1,done,0.0,1.0,1.0,,14752,2215,679,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-extract,2,done,0.0,1.0,1.0,,24860,2221,1434,,3,2,,
gpt-oss-120b-cloud,http-fetch-and-extract,3,done,0.0,1.0,0.0,,24952,4521,1595,,5,5,,
gpt-oss-120b-cloud,http-fetch-and-extract,4,done,0.0,1.0,1.0,,19459,3592,1051,,4,3,,
gpt-oss-120b-cloud,http-fetch-and-extract,5,done,0.0,1.0,1.0,,19982,3589,1132,,4,3,,
gpt-oss-120b-cloud,http-fetch-and-extract,6,done,0.0,1.0,1.0,,13747,1159,343,,2,1,,
gpt-oss-120b-cloud,http-fetch-and-extract,7,done,0.0,1.0,1.0,,21217,3586,1107,,4,3,,
gpt-oss-120b-cloud,http-fetch-and-extract,8,done,0.0,1.0,0.0,,26252,4803,999,,5,5,,
gpt-oss-120b-cloud,multi-db-self-check,1,done,1.0,1.0,1.0,,12629,2522,245,,4,3,,
gpt-oss-120b-cloud,multi-db-self-check,2,done,1.0,0.0,1.0,,9516,1751,227,,3,2,,
gpt-oss-120b-cloud,multi-db-self-check,3,done,1.0,1.0,1.0,,10338,2556,253,,4,3,,
gpt-oss-120b-cloud,multi-db-self-check,4,done,1.0,1.0,1.0,,9899,2518,180,,4,3,,
gpt-oss-120b-cloud,multi-db-self-check,5,done,1.0,0.0,1.0,,9314,1751,208,,3,2,,
gpt-oss-120b-cloud,multi-db-self-check,6,done,1.0,1.0,1.0,,11691,2520,241,,4,3,,
gpt-oss-120b-cloud,multi-db-self-check,7,done,1.0,0.0,1.0,,8440,1751,192,,3,2,,
gpt-oss-120b-cloud,multi-db-self-check,8,done,1.0,0.0,1.0,,9087,1751,296,,3,2,,
gpt-oss-120b-cloud,multi-words-and-hash,1,done,1.0,1.0,1.0,,12905,2636,346,,4,3,,
gpt-oss-120b-cloud,multi-words-and-hash,2,done,1.0,1.0,1.0,,14638,3533,411,,5,4,,
gpt-oss-120b-cloud,multi-words-and-hash,3,done,1.0,1.0,1.0,,10062,1966,281,,3,2,,
gpt-oss-120b-cloud,multi-words-and-hash,4,done,1.0,1.0,1.0,,12268,3462,355,,5,4,,
gpt-oss-120b-cloud,multi-words-and-hash,5,done,1.0,1.0,1.0,,14091,2646,297,,4,3,,
gpt-oss-120b-cloud,multi-words-and-hash,6,done,1.0,1.0,1.0,,11942,3472,362,,5,4,,
gpt-oss-120b-cloud,multi-words-and-hash,7,done,1.0,1.0,1.0,,10306,2648,335,,4,3,,
gpt-oss-120b-cloud,multi-words-and-hash,8,done,1.0,1.0,1.0,,10987,2658,320,,4,3,,
gpt-oss-120b-cloud,shell-count-lines,1,done,1.0,1.0,1.0,,7920,1321,155,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,2,done,1.0,1.0,1.0,,7822,1321,175,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,3,done,1.0,1.0,1.0,,7951,1321,135,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,4,done,1.0,1.0,1.0,,7187,1321,111,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,5,done,1.0,1.0,1.0,,8415,1321,151,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,6,done,1.0,1.0,1.0,,10296,1335,292,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,7,done,1.0,1.0,1.0,,7747,1321,135,,3,2,,
gpt-oss-120b-cloud,shell-count-lines,8,done,1.0,1.0,1.0,,7886,1321,146,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,1,done,1.0,1.0,1.0,,7925,1819,199,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,2,done,1.0,1.0,1.0,,8133,1826,173,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,3,done,1.0,1.0,1.0,,8582,1826,169,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,4,done,1.0,1.0,1.0,,8951,1819,204,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,5,done,1.0,1.0,1.0,,7711,1819,169,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,6,done,1.0,1.0,1.0,,7928,1819,170,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,7,done,1.0,1.0,1.0,,7900,1826,172,,3,2,,
gpt-oss-120b-cloud,shell-pipeline-extract,8,done,1.0,1.0,1.0,,8267,1819,189,,3,2,,
gpt-oss-20b-cloud,code-find-and-fix-bug,1,done,1.0,0.0,1.0,,8816,3357,268,,4,3,,
gpt-oss-20b-cloud,code-find-and-fix-bug,2,done,1.0,0.0,1.0,,9371,4301,261,,5,4,,
gpt-oss-20b-cloud,code-find-and-fix-bug,3,done,1.0,1.0,1.0,,9044,4409,233,,5,4,,
gpt-oss-20b-cloud,code-find-and-fix-bug,4,done,1.0,0.0,1.0,,9421,4303,277,,5,4,,
gpt-oss-20b-cloud,code-find-and-fix-bug,5,done,1.0,1.0,1.0,,9195,4410,231,,5,4,,
gpt-oss-20b-cloud,code-find-and-fix-bug,6,done,1.0,1.0,1.0,,8222,3324,158,,4,3,,
gpt-oss-20b-cloud,code-find-and-fix-bug,7,done,1.0,1.0,1.0,,9074,4411,225,,5,4,,
gpt-oss-20b-cloud,code-find-and-fix-bug,8,done,1.0,1.0,1.0,,8123,3353,197,,4,3,,
gpt-oss-20b-cloud,code-read-and-explain,1,done,1.0,1.0,1.0,1.0,7162,2024,202,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,2,done,1.0,1.0,1.0,1.0,6978,2025,202,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,3,done,1.0,1.0,1.0,1.0,7651,2031,364,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,4,done,1.0,1.0,1.0,1.0,7819,2030,293,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,5,done,1.0,1.0,1.0,1.0,7568,2028,329,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,6,done,1.0,1.0,1.0,1.0,7058,2022,198,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,7,done,1.0,1.0,1.0,1.0,7428,2024,246,,3,2,,
gpt-oss-20b-cloud,code-read-and-explain,8,done,1.0,1.0,1.0,1.0,7914,2027,363,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,1,done,1.0,1.0,1.0,,7030,1254,184,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,2,done,1.0,1.0,1.0,,6928,1254,106,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,3,done,1.0,1.0,1.0,,6821,1254,136,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,4,done,1.0,1.0,1.0,,6744,1254,128,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,5,done,1.0,1.0,1.0,,7241,1254,228,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,6,done,1.0,1.0,1.0,,8590,1899,305,,4,3,,
gpt-oss-20b-cloud,code-write-and-execute,7,done,1.0,1.0,1.0,,7079,1254,169,,3,2,,
gpt-oss-20b-cloud,code-write-and-execute,8,done,1.0,1.0,1.0,,7003,1254,108,,3,2,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,1,done,1.0,1.0,1.0,,8211,2657,307,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,2,done,1.0,1.0,1.0,,8319,2662,270,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,3,done,1.0,1.0,1.0,,8629,2657,377,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,4,done,1.0,1.0,1.0,,7916,2657,273,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,5,done,1.0,1.0,1.0,,8016,2657,251,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,6,done,1.0,1.0,1.0,,8104,2657,302,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,7,done,1.0,1.0,1.0,,7827,2674,203,,4,3,,
gpt-oss-20b-cloud,fs-grep-extract-and-write,8,done,1.0,1.0,1.0,,8153,2659,237,,4,3,,
gpt-oss-20b-cloud,fs-read-and-copy,1,done,1.0,1.0,1.0,,7151,1405,148,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,2,done,1.0,1.0,1.0,,7079,1405,132,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,3,done,1.0,1.0,1.0,,7116,1405,117,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,4,done,1.0,1.0,1.0,,7065,1405,187,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,5,done,1.0,1.0,1.0,,6682,1405,131,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,6,done,1.0,1.0,1.0,,7146,1393,152,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,7,done,1.0,1.0,1.0,,7253,1393,152,,3,2,,
gpt-oss-20b-cloud,fs-read-and-copy,8,done,1.0,1.0,1.0,,7336,1405,206,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,1,done,1.0,1.0,1.0,,7242,1455,191,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,2,done,1.0,1.0,1.0,,7214,1455,194,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,3,done,1.0,1.0,1.0,,7095,1455,147,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,4,done,1.0,1.0,1.0,,7301,1455,189,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,5,done,1.0,1.0,1.0,,7136,1455,166,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,6,done,1.0,1.0,1.0,,7207,1455,172,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,7,done,1.0,1.0,1.0,,7645,1455,301,,3,2,,
gpt-oss-20b-cloud,fs-write-csv-summary,8,done,1.0,1.0,1.0,,7124,1455,190,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,1,done,0.0,1.0,1.0,,7227,2207,162,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,2,done,0.0,1.0,1.0,,7196,2207,187,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,3,done,0.0,1.0,1.0,,7458,2211,228,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,4,done,0.0,1.0,1.0,,7155,2205,164,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,5,done,0.0,1.0,1.0,,7421,2209,247,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,6,done,0.0,1.0,1.0,,7149,2207,203,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,7,done,0.0,1.0,1.0,,7139,2209,145,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-count,8,done,0.0,1.0,1.0,,7045,2207,165,,3,2,,
gpt-oss-20b-cloud,http-fetch-and-extract,1,done,0.0,1.0,1.0,,6818,1160,402,,2,1,,
