model,task,seed,flag,detail
qwen2.5-coder-32b-q4_k_m,shell-count-lines,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,shell-count-lines,3,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,shell-pipeline-extract,1,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,shell-pipeline-extract,1,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,shell-pipeline-extract,2,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,shell-pipeline-extract,2,text_emitted,text tool-call pattern on turns [0]
qwen2.5-coder-32b-q4_k_m,shell-pipeline-extract,3,narration,0 structured tool calls across episode
qwen2.5-coder-32b-q4_k_m,shell-pipeline-extract,3,text_emitted,text tool-call pattern on turns [0]
qwen3-coder-30b,http-fetch-and-count,1,budget_exhausted,terminated_reason=max_turns_reached
qwen3-coder-30b,http-fetch-and-count,2,budget_exhausted,terminated_reason=max_turns_reached
qwen3-coder-30b,http-fetch-and-count,3,budget_exhausted,terminated_reason=max_turns_reached
